"IP","Port","Gateway","Level","Zeit","Land","Online","Check","",""
"109.207.49.190","8080","Nein","","0 Sek.","","83% ","11:06","",""
"106.186.22.65","8888","Nein","3","16.72 Sek.","","83% ","11:06","",""
"94.153.208.58","8080","Nein","1","4.2 Sek.","","86% ","11:06","",""
"195.39.8.170","8080","Nein","3","12.5 Sek.","","88% ","11:06","",""
"93.177.134.113","8080","Nein","3","0.67 Sek.","","89% ","11:06","",""
"109.207.51.177","8080","Nein","","0 Sek.","","83% ","11:06","",""
"202.106.16.36","3128","Nein","","0 Sek.","","99% ","11:06","",""
"107.0.68.29","3128","Nein","3","0.39 Sek.","","96% ","11:06","",""
"41.189.76.175","3128","Nein","3","3.61 Sek.","","83% ","11:06","",""
"69.63.114.3","3128","Nein","","0 Sek.","","99% ","11:06","",""
"159.224.83.100","8080","Nein","3","0.53 Sek.","","85% ","11:06","",""
"62.37.237.33","80","Nein","","0 Sek.","","100% ","11:06","",""
"189.45.201.66","8081","Nein","3","5.22 Sek.","","89% ","11:06","",""
"62.37.237.68","8080","Nein","","0 Sek.","","100% ","11:06","",""
"62.37.237.97","8080","Nein","","0 Sek.","","100% ","11:06","",""
"186.27.126.130","80","Nein","","0 Sek.","","99% ","11:06","",""
"144.217.80.25","3128","Nein","3","0.41 Sek.","","87% ","11:06","",""
"101.255.17.6","8008","Nein","3","3.14 Sek.","","80% ","11:05","",""
"42.201.208.110","8080","Nein","3","0.86 Sek.","","87% ","11:05","",""
"103.76.50.154","8080","Nein","3","1.28 Sek.","","87% ","11:05","",""
"185.28.193.95","8080","Nein","1","0.09 Sek.","","97% ","11:05","",""
"62.37.237.89","8080","Nein","","0 Sek.","","100% ","11:05","",""
"193.171.90.2","8080","Nein","1","0.19 Sek.","","83% ","11:05","",""
"83.231.34.133","3128","Nein","","0 Sek.","","100% ","11:05","",""
"187.120.181.172","8080","Nein","3","3.48 Sek.","","97% ","11:05","",""
"52.67.126.170","3128","Nein","","0 Sek.","","100% ","11:05","",""
"220.248.229.45","3128","Nein","3","1.03 Sek.","","95% ","11:05","",""
"134.213.152.188","4444","Nein","3","0.2 Sek.","","100% ","11:05","",""
"37.187.100.23","3128","Nein","2","0.78 Sek.","","98% ","11:04","",""
"62.37.237.64","8080","Nein","","0 Sek.","","100% ","11:04","",""
"62.37.237.91","8080","Nein","","0 Sek.","","100% ","11:04","",""
"62.37.237.33","8080","Nein","","0 Sek.","","100% ","11:04","",""
"183.63.110.202","3128","Nein","3","1.2 Sek.","","95% ","11:04","",""
"87.236.233.182","808","Nein","1","0.5 Sek.","","94% ","11:04","",""
"62.37.237.67","8080","Nein","","0 Sek.","","100% ","11:04","",""
"58.217.195.141","80","Nein","3","1.22 Sek.","","96% ","11:04","",""
"62.37.237.61","8080","Nein","","0 Sek.","","100% ","11:04","",""
"52.8.41.170","4444","Nein","3","0.92 Sek.","","99% ","11:04","",""
"200.10.67.162","8080","Nein","3","1.19 Sek.","","87% ","11:04","",""
"110.74.195.41","8080","Nein","3","1.55 Sek.","","84% ","11:04","",""
"221.229.252.98","9797","Nein","3","2.72 Sek.","","90% ","11:04","",""
"220.133.248.20","80","Nein","","0 Sek.","","99% ","11:04","",""
"109.207.49.174","8080","Nein","","0 Sek.","","85% ","11:04","",""
"217.17.46.162","8080","Nein","3","0.12 Sek.","","100% ","11:03","",""
"62.37.237.31","8080","Nein","","0 Sek.","","100% ","11:03","",""
"62.37.237.70","8080","Nein","","0 Sek.","","99% ","11:03","",""
"163.28.112.100","3128","Nein","","0 Sek.","","99% ","11:03","",""
"5.104.176.50","8080","Nein","3","0.33 Sek.","","84% ","11:03","",""
"134.213.29.202","4444","Nein","3","0.22 Sek.","","95% ","11:03","",""
"42.104.93.161","8080","Nein","","0 Sek.","","81% ","11:03","",""
"218.56.44.16","8998","Nein","1","1.77 Sek.","","86% ","11:03","",""
"62.37.237.16","8080","Nein","","0 Sek.","","99% ","11:03","",""
"119.28.19.61","3128","Nein","3","1.14 Sek.","","100% ","11:03","",""
"109.230.100.255","9090","Nein","","0 Sek.","","95% ","11:03","",""
"109.207.49.250","8080","Nein","","0 Sek.","","87% ","11:03","",""
"110.50.84.162","8080","Nein","3","1.75 Sek.","","90% ","11:02","",""
"179.111.208.144","3128","Nein","3","2.31 Sek.","","86% ","11:02","",""
"210.101.131.231","8080","Nein","3","3.34 Sek.","","97% ","11:02","",""
"81.196.104.85","443","Nein","","0 Sek.","","99% ","11:02","",""
"114.215.150.13","3128","Nein","3","2.37 Sek.","","97% ","11:02","",""
"62.37.237.101","8080","Nein","","0 Sek.","","100% ","11:02","",""
"101.255.51.47","8080","Nein","","0 Sek.","","87% ","11:02","",""
"103.4.166.203","8080","Nein","","0 Sek.","","96% ","11:02","",""
"5.189.162.211","3128","Nein","1","0.66 Sek.","","99% ","11:01","",""
"94.177.227.117","3128","Nein","3","0.06 Sek.","","100% ","11:01","",""
"62.37.237.93","8080","Nein","","0 Sek.","","100% ","11:01","",""
"188.92.214.253","8080","Nein","3","2.23 Sek.","","87% ","11:01","",""
"81.181.81.26","3128","Nein","","0 Sek.","","96% ","11:01","",""
"210.120.128.185","8080","Nein","3","1.25 Sek.","","100% ","11:01","",""
"96.239.193.243","8080","Nein","1","0.81 Sek.","","91% ","11:01","",""
"218.201.98.196","3128","Ja","1","2.62 Sek.","","99% ","11:01","",""
"217.33.216.114","8080","Nein","1","0.31 Sek.","","97% ","11:01","",""
"177.87.10.166","8080","Nein","3","1.53 Sek.","","83% ","11:00","",""
"62.37.237.72","8080","Nein","","0 Sek.","","100% ","11:00","",""
"139.59.23.147","3128","Nein","3","0.66 Sek.","","94% ","11:00","",""
"203.76.147.94","8080","Nein","3","1.33 Sek.","","80% ","11:00","",""
"110.164.93.42","3128","Nein","3","1.22 Sek.","","86% ","11:00","",""
"118.97.143.137","8080","Nein","3","2.97 Sek.","","92% ","11:00","",""
"185.58.227.191","9000","Nein","3","0.7 Sek.","","99% ","11:00","",""
"81.23.0.41","3129","Nein","2","2.84 Sek.","","93% ","11:00","",""
"182.92.234.104","3128","Nein","3","0.98 Sek.","","100% ","10:59","",""
"134.213.148.8","4444","Nein","3","0.25 Sek.","","100% ","10:59","",""
"187.44.1.167","8080","Nein","3","1.8 Sek.","","85% ","10:58","",""
"16.250.64.218","80","Ja","3","0.58 Sek.","","83% ","10:58","",""
"210.101.131.229","8080","Nein","","0 Sek.","","96% ","10:58","",""
"61.191.41.130","80","Ja","1","4.25 Sek.","","97% ","10:58","",""
"194.154.128.65","8080","Ja","3","0.3 Sek.","","97% ","10:58","",""
"134.213.208.187","4444","Nein","3","0.2 Sek.","","100% ","10:58","",""
"94.23.118.193","80","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.34","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.100","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.32","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.18","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.35","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.15","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.66","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.25","80","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.88","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.62","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.32","80","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.90","8080","Nein","","0 Sek.","","100% ","10:58","",""
"62.37.237.5","8080","Nein","","0 Sek.","","100% ","10:58","",""
"95.67.120.190","8080","Nein","3","6.95 Sek.","","82% ","10:57","",""
"62.37.237.63","8080","Nein","","0 Sek.","","100% ","10:57","",""
"62.37.237.92","8080","Nein","","0 Sek.","","100% ","10:57","",""
"62.37.237.25","8080","Nein","","0 Sek.","","100% ","10:57","",""
"202.137.10.72","8080","Nein","3","1.52 Sek.","","88% ","10:57","",""
"103.10.228.63","8080","Nein","3","1.31 Sek.","","91% ","10:57","",""
"94.23.118.222","80","Nein","","0 Sek.","","99% ","10:57","",""
"120.132.71.212","80","Nein","3","1.25 Sek.","","99% ","10:57","",""
"62.37.237.98","8080","Nein","","0 Sek.","","100% ","10:57","",""
"185.46.151.29","8080","Ja","3","3.72 Sek.","","84% ","10:57","",""
"218.8.192.158","8998","Nein","1","1.94 Sek.","","88% ","10:57","",""
"177.36.204.45","3128","Nein","3","1.22 Sek.","","86% ","10:56","",""
"141.170.5.181","8080","Nein","3","0.65 Sek.","","86% ","10:56","",""
"12.129.82.194","8080","Ja","2","1.02 Sek.","","100% ","10:56","",""
"101.254.188.198","8080","Nein","3","1.03 Sek.","","81% ","10:56","",""
"62.37.237.36","8080","Nein","","0 Sek.","","99% ","10:56","",""
"217.17.46.162","3128","Nein","3","0.12 Sek.","","100% ","10:56","",""
"160.202.42.10","8080","Nein","3","2.55 Sek.","","82% ","10:56","",""
"36.67.64.9","8080","Nein","3","1.22 Sek.","","92% ","10:56","",""
"221.229.252.98","8080","Nein","3","1.75 Sek.","","89% ","10:56","",""
"109.207.49.158","8080","Nein","","0 Sek.","","82% ","10:56","",""
"46.37.193.74","3128","Nein","","0 Sek.","","87% ","10:55","",""
"191.181.200.152","8080","Ja","3","1.12 Sek.","","100% ","10:55","",""
"63.150.152.151","3128","Nein","","0 Sek.","","92% ","10:55","",""
"103.228.192.235","3128","Nein","1","2.65 Sek.","","91% ","10:55","",""
"94.23.118.200","80","Nein","","0 Sek.","","100% ","10:55","",""
"223.68.1.38","8000","Nein","3","1.22 Sek.","","99% ","10:55","",""
"123.206.34.119","53","Nein","3","1.37 Sek.","","99% ","10:55","",""
"134.213.221.181","4444","Nein","3","0.23 Sek.","","100% ","10:55","",""
"5.249.148.184","3128","Nein","1","0.19 Sek.","","88% ","10:55","",""
"5.189.169.210","8080","Nein","3","0.19 Sek.","","93% ","10:55","",""
"46.37.193.74","8080","Nein","","0 Sek.","","90% ","10:54","",""
"194.44.172.210","8080","Nein","3","0.39 Sek.","","82% ","10:54","",""
"58.67.159.50","80","Nein","3","1.19 Sek.","","87% ","10:54","",""
"62.37.237.87","8080","Nein","","0 Sek.","","100% ","10:54","",""
"217.172.120.18","8080","Nein","3","25.86 Sek.","","80% ","10:54","",""
"94.177.251.179","9000","Nein","3","0.11 Sek.","","100% ","10:54","",""
"37.57.147.41","8080","Nein","3","0.78 Sek.","","85% ","10:54","",""
"178.22.148.122","3129","Nein","3","0.09 Sek.","","96% ","10:54","",""
"109.254.6.40","8080","Nein","3","9.74 Sek.","","90% ","10:54","",""
"83.231.34.133","80","Nein","","0 Sek.","","100% ","10:53","",""
"124.81.213.118","8080","Nein","3","1.95 Sek.","","87% ","10:53","",""
"203.83.176.28","8080","Nein","3","12.11 Sek.","","81% ","10:53","",""
"94.20.21.38","3128","Nein","3","0.31 Sek.","","94% ","10:53","",""
"203.142.76.90","8080","Nein","3","1.27 Sek.","","80% ","10:53","",""
"131.255.82.103","8080","Nein","3","8.44 Sek.","","90% ","10:53","",""
"123.30.238.16","3128","Nein","3","1.23 Sek.","","97% ","10:53","",""
"185.46.151.26","8080","Nein","3","3.78 Sek.","","85% ","10:53","",""
"62.37.237.14","8080","Nein","","0 Sek.","","99% ","10:53","",""
"103.4.147.82","8080","Nein","3","3.59 Sek.","","82% ","10:53","",""
"125.209.67.74","8080","Nein","3","1.08 Sek.","","88% ","10:53","",""
"89.40.117.173","8080","Nein","3","0.05 Sek.","","90% ","10:52","",""
"63.150.152.151","8080","Nein","","0 Sek.","","93% ","10:52","",""
"191.7.192.166","8080","Nein","3","0.97 Sek.","","86% ","10:52","",""
"177.130.0.32","8080","Nein","3","0.94 Sek.","","88% ","10:52","",""